FN Clarivate Analytics Web of Science																														
TI Effects of cattle feeding regimen and soil management type on the fate																														
TI Prevalence of leukoplakia																														
TI Shoot growth pattern and quantifying flush maturity with SPAD value in																														
TI Evaluating bicycle-transit users' perceptions of intermodal																														
TI Factors influencing the small-scale distribution of House Sparrows																														
TI Diet and risk of ischemic heart disease in India																														
TI International and domestic uses of solid biofuels under different																														
TI Fruit and vegetable intake and prevalence of colorectal adenoma in a																														
TI Interaction of methylenetetrahydrofolate reductase C677T																														
TI Indocyanine green clearance test combined with MELD score in predicting																														
TI Minimizing greenhouse gas emissions in intermodal freight transport: an																														
TI Where Do We Go From Here? Progressing Sustainability Implementation																														
TI ALGORITHM OF ANXIODEPRESSIVE DISORDERS DETECTION IN PATIENTS WITH																														
TI Leisure home ownership																														
TI Daily tea drinking is associated with a low level of depressive symptoms																														
TI Seeking greener pastures? The relationship between career satisfaction																														
TI Socioeconomic and behavioral differences in the consumption of fruits																														
TI Prevalence and risk factors of Helicobacter pylori infection in Chinese																														
TI Coffee consumption is inversely associated with depressive status in																														
TI Predicting success incorporating conservation subdivisions into land use																														
TI Measuring the potential implications of introducing a cap and share																														
TI An Activity-Based Costing Method for Sawmilling																														
TI Light availability for Chlorobium phaeobacteroides development in Lake																														
TI Tea Consumption and Risk of Head and Neck Cancer																														
TI The effect of yellow light onset time on older and younger drivers'																														
TI Modelling and analysis of sustainable operations management: certain																														
TI Biotic and abiotic regulation of resting spore formation in vivo of																														
TI Associations of complement factor B and complement component 2 genotypes																														
TI Can a large metropolis sustain complex herpetofauna communities? An																														
TI Diet habits																														
TI Future Directions in Housing and Public Health: Findings From Europe																														
TI Magnitude of Pharmacological Nonadherence in Hypertensive Patients																														
TI A Multilevel Analysis of Neighbourhood Built and Social Environments and																														
TI Misbehaviour in Pony Club horses: Incidence and risk factors																														
TI Current practices on sheep and beef farms in New Zealand for depriving																														
TI Effects of nitrogen and phosphorus on arsenite accumulation																														
TI Strategies to reduce the carbon footprint of consumer goods by																														
TI Applying analytic network process to evaluate the optimal recycling																														
TI Diagnosis of rhinosinusitis with a colorimetric sensor array																														
TI High Temperature of Food and Beverage Intake Increases the Risk of																														
TI Spatio-temporal dynamics of arabica coffee berry disease caused by																														
TI Investments of oil majors in liquid biofuels: The role of																														
TI Evaluation of Listener-Based Anuran Surveys with Automated Audio																														
TI Risk Factors for Cutaneous Human Papillomavirus Seroreactivity among																														
TI Proanthocyanidins and the risk of colorectal cancer in Italy																														
TI Low awareness of the Charles Bonnet syndrome in patients attending a																														
